,image,hash0,hash1,hash2,task
10,2387ccdd285df62b9a6cb0ef51bc0c5d_12ce7ece6e2742bffdcf3dd2353a5e1b_9870fa3f9532ec8e4c649e4531a319ef.png,2387ccdd285df62b9a6cb0ef51bc0c5d,12ce7ece6e2742bffdcf3dd2353a5e1b,9870fa3f9532ec8e4c649e4531a319ef,clip
11,7ad7acdfe4d90bc39095e4df1f96cc1d_99678d6b7c8231a943dbdc657d6ad7e2_7f4c308372b3108c1a2ec862fbf13f7b.png,7ad7acdfe4d90bc39095e4df1f96cc1d,99678d6b7c8231a943dbdc657d6ad7e2,7f4c308372b3108c1a2ec862fbf13f7b,clip
12,77fc626ef469159df6e765d0aa4a8717_19f7bec3bcffc5b52b5388df0a5ff9f5_17896c5caedd2ee05de7b2af6a37cdfd.png,77fc626ef469159df6e765d0aa4a8717,19f7bec3bcffc5b52b5388df0a5ff9f5,17896c5caedd2ee05de7b2af6a37cdfd,clip
13,141c886ddfcbf75585406df0a2936430_5fe57204ebe41a0d8e7f4109eeb4977c_229690498822e2082ada47625cde5340.png,141c886ddfcbf75585406df0a2936430,5fe57204ebe41a0d8e7f4109eeb4977c,229690498822e2082ada47625cde5340,clip
14,c4716f78d73debce387ec48a101f5f7d_01ca638c2986e6947730cc3e2996ccbb_018f075b535bf516307af4fcc9c05202.png,c4716f78d73debce387ec48a101f5f7d,01ca638c2986e6947730cc3e2996ccbb,018f075b535bf516307af4fcc9c05202,clip
15,8c9fa1ea0e891c11312124163b59ad38_16ba5198c085d9a8b45fa471d6c690cf_4e95d5f06dc5d313b7e4c90c1da66d7e.png,8c9fa1ea0e891c11312124163b59ad38,16ba5198c085d9a8b45fa471d6c690cf,4e95d5f06dc5d313b7e4c90c1da66d7e,clip
16,de80c9cd6533e8b6bde2a7b21004757d_ce9e2f6bc09e071ce578cde48fb4d8d7_da60196c7945b09289c410579099b555.png,de80c9cd6533e8b6bde2a7b21004757d,ce9e2f6bc09e071ce578cde48fb4d8d7,da60196c7945b09289c410579099b555,clip
17,91e4a319581f6888e9dfd7963d43c4ff_32e9aecb1a4a4b475451f1fa56418995_16ba5198c085d9a8b45fa471d6c690cf.png,91e4a319581f6888e9dfd7963d43c4ff,32e9aecb1a4a4b475451f1fa56418995,16ba5198c085d9a8b45fa471d6c690cf,clip
18,bd2700c6b15a97ffabe0f0ef5375b53d_2ddd6e26c480070d0cd59290873d8953_fdd55749309e122dcfad6791b1138997.png,bd2700c6b15a97ffabe0f0ef5375b53d,2ddd6e26c480070d0cd59290873d8953,fdd55749309e122dcfad6791b1138997,clip
19,62310765db7f05f3242b9a6bacc1def1_ddf96935d8c27d55c4d017b113a9ba62_ba029b25a1ae607c4ddfd2b8f9adb1f7.png,62310765db7f05f3242b9a6bacc1def1,ddf96935d8c27d55c4d017b113a9ba62,ba029b25a1ae607c4ddfd2b8f9adb1f7,clip
20,32a60a7001e6effaded160a2d27507db_22f22ea717a913731ca109e2546a45a0_2be001d6f85c8cbeb65076509975b325.png,32a60a7001e6effaded160a2d27507db,22f22ea717a913731ca109e2546a45a0,2be001d6f85c8cbeb65076509975b325,clip
21,c9010194d862632fc4ed39507900a677_1bcf01e80f06e151ab69b1417a8ae1ba_e193f7727c2070a751433f4be49d50ab.png,c9010194d862632fc4ed39507900a677,1bcf01e80f06e151ab69b1417a8ae1ba,e193f7727c2070a751433f4be49d50ab,clip
22,edbc8704b03c349ba112b4b8f5cbce26_d125600d93d5c64f63808b7b36b8a303_6374edc9b025fc4eadcce68b5c166f42.png,edbc8704b03c349ba112b4b8f5cbce26,d125600d93d5c64f63808b7b36b8a303,6374edc9b025fc4eadcce68b5c166f42,clip
23,986f66bdfcf62f381d0720541a70a190_01e639fe37f84c437d2bc266a1a716ef_4be40ef50f37062ae1c002fcdeb8b708.png,986f66bdfcf62f381d0720541a70a190,01e639fe37f84c437d2bc266a1a716ef,4be40ef50f37062ae1c002fcdeb8b708,clip
24,2d0d20b28dfb438dcf32e590c15f0855_d7e93006f30c324b33f87328abcfedb5_90165755e7cd44444dd4a55dfc0c16ec.png,2d0d20b28dfb438dcf32e590c15f0855,d7e93006f30c324b33f87328abcfedb5,90165755e7cd44444dd4a55dfc0c16ec,clip
25,357068d52c39292875a6ab9fb8f600bc_a29f0870335a24d7ef58339c61d48a60_fa26e2bbee5ce2ba9f7f36b88335d499.png,357068d52c39292875a6ab9fb8f600bc,a29f0870335a24d7ef58339c61d48a60,fa26e2bbee5ce2ba9f7f36b88335d499,clip
26,d47af53593003405d8907f8d2e177b80_cf9d62e3ce41a4ff8dbe6efdd323ae43_26962e12d9f4836b41c9504660ba32f4.png,d47af53593003405d8907f8d2e177b80,cf9d62e3ce41a4ff8dbe6efdd323ae43,26962e12d9f4836b41c9504660ba32f4,clip
27,b5141b548ae3418578cf7e4a7873fafa_3086076ae7a2410321dbebd5bf57dc31_9eb347dab3bafb720e2dc397dae0d1f5.png,b5141b548ae3418578cf7e4a7873fafa,3086076ae7a2410321dbebd5bf57dc31,9eb347dab3bafb720e2dc397dae0d1f5,clip
